brand_id,certifcation_id,date_added
1,4,2023-12-05
2,4,2023-12-05
3,4,2023-12-05
4,4,2023-12-05
4,2,2023-12-05
5,4,2023-12-05
6,1,2023-12-05
6,4,2023-12-05
6,5,2023-12-05
6,13,2023-12-05
7,2,2023-12-05
8,2,2023-12-05
9,2,2023-12-05
9,1,2023-12-05
10,6,2023-12-05
11,1,2023-12-05
11,6,2023-12-05
11,5,2023-12-05
11,3,2023-12-05
12,6,2023-12-05
13,6,2023-12-05
13,1,2023-12-05
13,3,2023-12-05
14,6,2023-12-05
14,10,2023-12-05
15,6,2023-12-05
15,11,2023-12-05
16,9,2023-12-05
17,3,2023-12-05
17,12,2023-12-05
18,12,2023-12-05
18,7,2023-12-05
19,7,2023-12-05
20,11,2023-12-05
21,7,2023-12-05
22,5,2023-12-05
22,1,2023-12-05
23,3,2023-12-05
23,4,2023-12-05
23,13,2023-12-05
24,6,2023-12-05
24,1,2023-12-05
25,1,2023-12-05
25,3,2023-12-05
26,3,2023-12-05
